Number,Area,Genus,species,Genus_species,AT,BT,Time,Day,Month,Year,Date,Pit,SVL,Tail,TailBT,TailCond,Wt,Sex,Age_est,RTW,RTL,RTVol,LTW,LTL,LTVol,TotTVol,Ovid_RNo,Ovid_RVol,Ovid_LNo,Ovid_LVol,CS,OvidTotVol,RCM,FB_R,FB_L,FBTotal,ParasitesP.N,CentipedesN,CentipedesV,AranaeN,AranaeV,ScorpionN,ScorpionV,AntsN,AntsV,WaspN,WaspV,OrthoptN,OrthoptV,ThysanuraN,ThysanuraV,BlattariaN,BlattariaV,PhasmidN,PhasmidV,ColeopteraN,ColeopteraV,IsopteraWN,IsopteraSN,IsopteraRN,IsopteraN,IsopteraV,HomopteraN,HomopteraV,HemipteraN,HemipteraV,DermapteraN,DermapteraV,DipteraN,DipteraV,LepidoptN,LepidoptV,EggsN,EggsV,LarvaeN,LarvaeV,OtherInsN,OtherInsV,NematodesN,NematodesV,VertebratesN,VertebratesV,VegN,VegV,UnIDN,UnIDV,Wood.Rocks,OtherN,OtherV,TOTVOL,Notes
23312,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,21,11,1989,21/11/1989,,320,24,,,10.5,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23426,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,26,11,1989,26/11/1989,,288,19,,,9.5,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23454,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,28,11,1989,28/11/1989,,308,22,,,10.4,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23608,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,6,12,1989,6/12/1989,,210,12,,,4,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23715,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,21,12,1989,21/12/1989,,235,27,,,5.8,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23749,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,23,12,1989,23/12/1989,,271,31,,,9.8,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
23750,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,23,12,1989,23/12/1989,,302,31,,,11,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
24248,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,1,2,1990,1/2/1990,,296,30,,,10,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25208,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,21,10,1990,21/10/1990,,290,35,,,11.4,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25231,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,23,10,1990,23/10/1990,,215,22,,,4.7,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25263,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,26,10,1990,26/10/1990,,264,30,,,8.2,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25465,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,11,11,1990,11/11/1990,,318,21,,,11.8,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25572,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,18,11,1990,18/11/1990,,143,14,,,1.8,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25706,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,1,12,1990,1/12/1990,,280,29,,,7.8,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
25812,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,15,12,1990,15/12/1990,,174,13,,,2.6,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27479,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,2,11,1992,2/11/1992,E23,322,22,,Wh,11.3,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
27993,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,28,11,1992,28/11/1992,E5,247,26,,Wh,6.1,MALE,Adult,,7,,,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
27127,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,21,10,1992,21/10/1992,L22,277,,31+,BtipNR,8.5,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27163,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,22,10,1992,22/10/1992,L4,301,31,,Wh,9.7,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27169,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,22,10,1992,22/10/1992,L28,273,30,,Wh,10.3,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27178,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,22,10,1992,22/10/1992,L55,286,31,,Wh,12,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27179,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,22,10,1992,22/10/1992,L57,288,31,,Wh,10.5,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27823,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,17,11,1992,17/11/1992,L10,208,24,,Wh,4.1,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
27824,L,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,17,11,1992,17/11/1992,L11,273,,29+,BTNR,9.2,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
29491,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,18,11,1995,18/11/1995,W13,317,19,,Wh,15.7,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8,,0,,0,,,0,0.8,Egg shells
30144,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,27,12,1995,27/12/1995,E25,267,19,,Wh,6.4,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
30197,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,29,12,1995,29/12/1995,E18,315,18,,Wh,13.8,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,,0,,0,,,0,0.1,Egg shells
28897,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,15,10,1995,15/10/1995,N17,268,30,,Wh,8.6,MALE,Adult,,8,,,9,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
29018,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,18,10,1995,18/10/1995,N16,260,27,,Wh,6.8,MALE,Adult,,7,,,6,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
29426,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,16,11,1995,16/11/1995,E14,282,29,,Wh,9.3,MALE,Adult,,8,,,8,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
29704,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,16,12,1995,16/12/1995,W14,290,33,,Wh,11.8,MALE,Adult,,7,,,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,,0,,0,,,0,0.1,Egg shells
29764,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,17,12,1995,17/12/1995,E21,265,30,,Wh,9,MALE,Adult,,5,,,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
29779,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,18,12,1995,18/12/1995,W13,253,25,,Wh,8.4,MALE,Adult,,8,,,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
30062,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,25,12,1995,25/12/1995,E5,265,25,,Wh,8.4,MALE,Adult,,9,,,6,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,0,,0,,,0,0.2,Unidentified
30223,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,30,12,1995,30/12/1995,C4,277,28,,Wh,10,MALE,Adult,,9,,,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.6,,0,,0,,,0,0.6,Egg shells
29405,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,15,11,1995,15/11/1995,W10,269,16,,Wh,5.9,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
30916,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,23,1,1996,23/1/1996,N13,345,25,,Wh,10.4,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
30938,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,24,1,1996,24/1/1996,E25,264,20,,Wh,7.9,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
30962,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,25,1,1996,25/1/1996,N20,316,20,,Wh,10.4,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
30543,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,9,1,1996,9/1/1996,C4,340,20,,Wh,12.5,MALE,Adult,,5,,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6,,0,,0,,,0,0.6,Egg shells
30594,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,11,1,1996,11/1/1996,N25,305,31,,Wh,13.6,MALE,Adult,,6,,,6,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,,0,,0,,,0,0.4,Egg shells
32126,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,16,10,1998,16/10/1998,N24,299,18,,Wh,10,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
32181,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,17,10,1998,17/10/1998,E22L,296,21,,Wh,8.1,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
32419,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,26,10,1998,26/10/1998,W8,235,13,,Wh,4.8,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
32443,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,27,10,1998,27/10/1998,W8,309,22,,Wh,9,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
32505,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,31,10,1998,31/10/1998,E14,341,,,,10.1,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
31936,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,9,10,1998,9/10/1998,E22j,281,29,,Wh,8.1,MALE,Adult,,6,,,9,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
31939,R,Brachyurophis,semifasciatus,Brachyurophis_semifasciatus,,,,9,10,1998,9/10/1998,N23,310,33,,Wh,13.5,MALE,Adult,,11,,,10,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
